cgpa,package
4.26,1.53
4.57,1.94
4.73,1.48
4.79,1.48
4.85,1.54
5.09,1.86
5.1,2.3
5.11,1.63
5.12,1.98
5.12,2.01
5.13,1.37
5.23,1.73
5.32,1.86
5.38,2.09
5.42,2.16
5.42,2.25
5.48,1.61
5.53,2.55
5.58,2.17
5.61,2.19
5.64,2.1
5.66,2.21
5.79,2.35
5.83,2.42
5.84,3.26
5.84,2.74
5.84,1.87
5.84,2.48
5.84,2.18
5.88,2.08
5.89,2.57
5.9,2.43
5.91,2.6
5.94,2.24
5.95,2.54
5.95,3.04
5.98,2.84
5.99,2.84
6.05,2.58
6.06,2.31
6.07,2.26
6.07,2.46
6.09,2.31
6.1,2.2
6.1,2.6
6.12,2.76
6.13,2.19
6.14,2.3
6.17,2.42
6.19,2.48
6.19,2.72
6.19,2.69
6.22,2.14
6.22,2.87
6.22,2.33
6.26,2.44
6.29,3.23
6.3,2.73
6.31,3.18
6.33,2.59
6.34,2.09
6.35,2.73
6.37,2.01
6.42,2.72
6.47,2.61
6.47,2.7
6.5,3.02
6.51,2.89
6.53,2.71
6.59,2.21
6.6,1.94
6.61,2.6
6.61,3.24
6.63,2.79
6.66,2.82
6.68,2.49
6.71,3.52
6.73,2.6
6.75,2.48
6.75,2.56
6.76,3.18
6.78,3.11
6.79,3.08
6.84,2.35
6.85,2.93
6.85,3.44
6.86,3.09
6.87,2.87
6.89,3.26
6.89,2.7
6.92,3.09
6.93,2.89
6.93,3.04
6.93,2.51
6.93,2.46
6.94,3.57
6.94,2.98
6.94,3.15
6.94,2.37
6.96,3.08
6.97,3.28
6.98,3.09
7.04,3.5
7.05,3
7.08,2.85
7.09,3.64
7.11,2.66
7.11,2.61
7.12,2.99
7.13,2.93
7.14,3.13
7.14,3.03
7.15,3.49
7.18,3
7.19,2.4
7.2,2.83
7.21,3.24
7.25,3.23
7.28,3.16
7.28,3.65
7.28,2.72
7.28,3.48
7.29,3.12
7.3,2.94
7.3,3.33
7.32,2.99
7.33,3.16
7.34,3.42
7.35,3.08
7.36,3.26
7.36,2.92
7.37,3.08
7.38,3.13
7.39,2.65
7.4,2.88
7.42,3.67
7.43,3.33
7.47,3.34
7.48,2.83
7.56,3.31
7.56,2.99
7.57,3.4
7.6,3.81
7.61,2.77
7.62,3.74
7.63,3.44
7.63,3.96
7.66,2.76
7.69,3.83
7.73,3.42
7.76,3.54
7.77,4.06
7.78,3.62
7.82,3.25
7.84,3.47
7.87,3.58
7.88,3.14
7.89,2.99
7.89,3.67
7.9,4
7.91,3.89
7.91,3.15
7.93,3.34
7.94,3.99
7.95,4.14
8.01,3.76
8.09,3.55
8.1,3.89
8.11,4.06
8.13,3.6
8.15,3.63
8.18,3.76
8.2,3.39
8.21,4.08
8.22,3.89
8.25,3.75
8.28,3.67
8.31,3.51
8.31,3.42
8.35,4.21
8.37,4.11
8.44,4.03
8.44,3.49
8.58,4.1
8.6,3.98
8.62,4.36
8.63,4.09
8.65,3.52
8.71,4.08
8.87,4.62
8.93,3.91
8.94,3.65
8.99,4.6
9.04,3.33
9.06,3.82
9.16,4.25
9.26,3.79
9.31,4.37
9.38,4.02
9.58,4.43
8.82,4.04
8.84,4.05
8.85,4.06
8.87,4.07
8.89,4.08
8.91,4.09
8.93,4.1
8.94,4.11
8.96,4.12
8.98,4.13
9,4.15
9.02,4.16
9.04,4.17
9.05,4.18
9.07,4.19
9.09,4.2
9.11,4.21
9.13,4.22
9.14,4.23
9.16,4.24
9.18,4.25
9.2,4.26
9.22,4.27
9.24,4.28
9.25,4.29
9.27,4.3
9.29,4.31
9.31,4.32
9.33,4.33
9.34,4.34
9.36,4.35
9.38,4.36
9.4,4.37
9.42,4.38
9.44,4.39
9.45,4.41
9.47,4.42
9.49,4.43
9.51,4.44
9.53,4.45
9.54,4.46
9.56,4.47
9.58,4.48
9.6,4.49
9.62,4.5
9.64,4.51
9.65,4.52
9.67,4.53
9.69,4.54
9.71,4.55
9.73,4.56
9.74,4.57
9.76,4.58
9.78,4.59
9.8,4.6
9.82,4.61
9.84,4.62
9.85,4.63
9.87,4.64
9.89,4.65
9.91,4.67
9.93,4.68
9.94,4.69
9.96,4.7
9.98,4.71
10,4.72
4.26,1.53
4.57,1.94
4.73,1.48
4.79,1.48
4.85,1.54
5.09,1.86
5.1,2.3
5.11,1.63
5.12,1.98
5.12,2.01
5.13,1.37
5.23,1.73
5.32,1.86
5.38,2.09
5.42,2.16
5.42,2.25
5.48,1.61
5.53,2.55
5.58,2.17
5.61,2.19
5.64,2.1
5.66,2.21
5.79,2.35
5.83,2.42
5.84,3.26
5.84,2.74
5.84,1.87
5.84,2.48
5.84,2.18
5.88,2.08
5.89,2.57
5.9,2.43
5.91,2.6
5.94,2.24
5.95,2.54
5.95,3.04
5.98,2.84
5.99,2.84
6.05,2.58
6.06,2.31
6.07,2.26
6.07,2.46
6.09,2.31
6.1,2.2
6.1,2.6
6.12,2.76
6.13,2.19
6.14,2.3
6.17,2.42
6.19,2.48
6.19,2.72
6.19,2.69
6.22,2.14
6.22,2.87
6.22,2.33
6.26,2.44
6.29,3.23
6.3,2.73
6.31,3.18
6.33,2.59
6.34,2.09
6.35,2.73
6.37,2.01
6.42,2.72
6.47,2.61
6.47,2.7
6.5,3.02
6.51,2.89
6.53,2.71
6.59,2.21
6.6,1.94
6.61,2.6
6.61,3.24
6.63,2.79
6.66,2.82
6.68,2.49
6.71,3.52
6.73,2.6
6.75,2.48
6.75,2.56
6.76,3.18
6.78,3.11
6.79,3.08
6.84,2.35
6.85,2.93
6.85,3.44
6.86,3.09
6.87,2.87
6.89,3.26
6.89,2.7
6.92,3.09
6.93,2.89
6.93,3.04
6.93,2.51
6.93,2.46
6.94,3.57
6.94,2.98
6.94,3.15
6.94,2.37
6.96,3.08
6.97,3.28
6.98,3.09
7.04,3.5
7.05,3
7.08,2.85
7.09,3.64
7.11,2.66
7.11,2.61
7.12,2.99
7.13,2.93
7.14,3.13
7.14,3.03
7.15,3.49
